name,word_ranking,asia_ranking,pakistani_ranking,publication,address
University of Agriculture; Faisalabad,2122 / 14;131,624 / 5;830,5 / 175,20,228,"Jail Road Faisalabad; Punjab; 38040 Pakistan"
University of Agriculture; Peshawar,6272 / 14;131,2343 / 5;830,65 / 175,1,198,"University POB 25130 Peshawar; Khyber Pakhtunkhwa; 25000 Pakistan"
University of Azad Jammu and Kashmir,6367 / 14;131,2381 / 5;830,69 / 175,1,082,"Administration Block; Challa Campus Muzaffarabad; Azad Kashmir Pakistan"
University of Balochistan,5251 / 14;131,1903 / 5;830,46 / 175,892,"Sariab Road
 Quetta; Balochistan Pakistan"
University of Central Punjab,4266 / 14;131,1462 / 5;830,26 / 175,1,096,"1 Khayaban-e-Jinnah Road; Johar Town Lahore; Punjab Pakistan"
University of Education - Pakistan,5389 / 14;131,1968 / 5;830,50 / 175,972,"Township Campus; College Road Lahore; Punjab; 54770 Pakistan"
University of Engineering and Technology; Lahore,2401 / 14;131,719 / 5;830,7 / 175,6,810,"Lahore Grand Trunk Road Lahore; Punjab; 54890 Pakistan"
University of Engineering and Technology; Peshawar,5060 / 14;131,1813 / 5;830,40 / 175,1,500,"PO Box 814 Peshawar; Khyber Pakhtunkhwa; 25000 Pakistan"
University of Engineering and Technology; Taxila,4774 / 14;131,1685 / 5;830,31 / 175,1,662,"Taxila; Punjab; 47050 Pakistan"
University of Gujrat,5101 / 14;131,1830 / 5;830,41 / 175,1,990,"Hafiz Hayat Campus; Jalapur Jattan Road Gujrat; Punjab; 50700 Pakistan"
University of Haripur,6656 / 14;131,2526 / 5;830,80 / 175,827,"Hattar Road Near Swat Chowk Tehsil & District Haripur; Khyber Pakhtunkhwa; 22620 Pakistan"
University of Health Sciences; Lahore ,5132 / 14;131,1847 / 5;830,45 / 175,811,"Khayaban-e-Jamia Punjab Lahore; Punjab; 54600 Pakistan"
University of Karachi,2327 / 14;131,690 / 5;830,6 / 175,8,269,"Main University Road Karachi; Sindh; 75270 Pakistan"
University of Lahore,3644 / 14;131,1201 / 5;830,17 / 175,3,925,"1 Km Defense Road; near Bhobtian Chowk; Raiwind Road Lahore; Punjab; 54600 Pakistan"
University of Malakand,6522 / 14;131,2462 / 5;830,77 / 175,1,884,"Chakdara; Khyber Pakhtunkhwa Pakistan"
University of Management and Technology - Lahore,4695 / 14;131,1654 / 5;830,30 / 175,1,597,"Block C-2; Johar Town Lahore; Punjab; 54600 Pakistan"
University of Peshawar,3040 / 14;131,967 / 5;830,12 / 175,4,290,"Jamrud Road
Peshawar; Khyber Pakhtunkhwa; 25120 Pakistan"
University of Sargodha,4644 / 14;131,1630 / 5;830,29 / 175,3,678,"University Road Sargodha; Punjab; 40100 Pakistan"
University of Science and Technology; Bannu,6553 / 14;131,2478 / 5;830,78 / 175,1,784,"Miranshah RoadBannu; Khyber Pakhtunkhwa; 28000Pakistan"
University of Sindh,3363 / 14;131,1089 / 5;830,13 / 175,2,220,"Allama I.I. Kazi Campus Jamshoro; Sindh; 76080 Pakistan"
University of Swat ,7284 / 14;131,2828 / 5;830,94 / 175,578,"Saidu Sharif RoadMingora Khyber Pakhtunkhwa 19130 Pakistan"
University of the Punjab,1240 / 14;131,319 / 5;830,1 / 175,9740,"Quaid-e-Azam Campus; PO Box No. 54590 Lahore; Punjab; 54590 Pakistan"
University of Veterinary and Animal Sciences,5351 / 14;131,1954 / 5;830,48 / 175,"2,443","Outfall Road Lahore; Punjab; 54600 Pakistan"
University of Wah ,7352 / 14;131,2857 / 5;830,97 / 175,394,"Quaid Avenue Wah Cantt; Punjab Pakistan"
Ziauddin University,6152 / 14;131,2291 / 5;830,63 / 175,"1,116","4/B;Shahra-e-Ghalib; Block-6; Clifton Karachi; Sindh; 75600 Pakistan"
